N		Sort		Build
2		0.0747		0.0201
4		0.0702		0.0170
8		0.0880		0.0260
16		0.0608		0.0162
64		0.0623		0.0186
128		0.0659		0.0211
256		0.3593		0.0212
512		0.0567		0.0240
1024		0.3552		0.3038
2048		0.5106		0.0370
4096		0.5349		0.0590
8192		0.5215		0.0920
16384		0.5965		0.1671
32768		0.5179		0.2886
65536		0.5216		0.5452
131072		0.2529		1.2914
262144		0.5777		2.4295
524288		0.7484		4.3674
1048576		0.8304		8.5765
2097152		1.1448		17.0458
4194304		1.8410		36.0509
8388608		3.1218		67.5819
16777216	5.8081		138.0298

