N		Sort		 Build
2		0.0415		0.0203
4		0.0422		0.0231
8		0.0426		0.0217
16		0.0422		0.0206
32		0.0436		0.0214
64		0.0431		0.0238
128		0.0687		0.0276
256  	 	0.3207 		0.0277
512		0.0434		0.0318
1024		0.3241		0.0498
2048		0.2156		0.0756
4096		0.2206		0.1104
8192		0.5088		0.1803
16384		0.5429		0.3554
32768		0.2683		0.6023
65536		0.2916		1.1679
131072 		0.2424		1.9058
262144		0.2779		2.1457
524288		0.3869		3.8198
1048576		0.4464		7.6622
2097152		0.6034		15.146
4194304		0.9236		30.152
8388608		1.6020		61.129
16777216	2.8925		120.464		
33554432	5.5434		239.922
